co_mun;tiposeade;estadual;federal;municipal;particular;total_geral
3501905;Unidade de Saúde Mental ;;;2;;2
3501905;Unidade Móvel;;;1;1;2
3501905;Vigilância em Saúde;;;1;;1
3502002;Consultório Isolado;;;;3;3
3502002;Diagnose e Terapia;;;;1;1
3502002;Outros;;;2;;2
3502002;Unidade Básica de Saúde;;;2;;2
3502101;Clínica;1;;6;11;18
3502101;Consultório Isolado;;;;258;258
3502101;Diagnose e Terapia;;;1;10;11
3502101;Hospital;;;;2;2
3502101;Outros;;;4;7;11
3502101;Pronto Atendimento;;;1;1;2
3502101;Unidade Básica de Saúde;1;;6;;7
3502101;Unidade de Saúde Mental ;;;2;;2
3502101;Unidade Móvel;;;;22;22
3502101;Vigilância em Saúde;;;2;;2
3502200;Clínica;;;1;2;3
3502200;Consultório Isolado;;;;25;25
3502200;Diagnose e Terapia;;;1;3;4
3502200;Hospital;;;;1;1
3502200;Outros;;;3;1;4
3502200;Unidade Básica de Saúde;;;6;;6
3502200;Unidade de Saúde Mental ;;;1;;1
3502200;Unidade Móvel;;;1;;1
3502200;Vigilância em Saúde;;;1;;1
3502309;Consultório Isolado;;;;2;2
3502309;Outros;;;2;;2
3502309;Unidade Básica de Saúde;;;4;;4
3502309;Unidade Móvel;;;1;;1
3502408;Clínica;;;1;;1
3502408;Diagnose e Terapia;;;;2;2
3502408;Outros;;;3;;3
3502408;Unidade Básica de Saúde;;;3;;3
3502408;Vigilância em Saúde;;;1;;1
3502507;Clínica;;;3;3;6
3502507;Consultório Isolado;;;;18;18
3502507;Diagnose e Terapia;;;3;4;7
3502507;Hospital;;;;1;1
3502507;Outros;;;3;1;4
3502507;Pronto Atendimento;;;1;;1
3502507;Unidade Básica de Saúde;;;11;;11
3502507;Unidade de Saúde Mental ;;;1;;1
3502507;Unidade Móvel;;;1;;1
3502606;Diagnose e Terapia;;;;1;1
3502606;Hospital;;;;1;1
3502606;Outros;;;2;;2
3502606;Unidade Básica de Saúde;;;2;;2
3502606;Unidade Móvel;;;1;;1
3502705;Clínica;;;5;;5
3502705;Consultório Isolado;;;;26;26
3502705;Diagnose e Terapia;;;1;3;4
3502705;Hospital;;;;1;1
3502705;Outros;;;3;;3
3502705;Unidade Básica de Saúde;;;9;;9
3502705;Unidade de Saúde Mental ;;;1;;1
3502705;Unidade Móvel;;;1;;1
3502754;Clínica;;;2;2;4
3502754;Consultório Isolado;;;;11;11
3502754;Diagnose e Terapia;;;;2;2
3502754;Outros;;;2;;2
3502754;Pronto Atendimento;;;1;;1
3502754;Unidade Básica de Saúde;;;3;;3
3502754;Unidade de Saúde Mental ;;;1;;1
3502754;Unidade Móvel;;;1;1;2
3502804;Clínica;5;;7;52;64
3502804;Consultório Isolado;3;;5;489;497
3502804;Diagnose e Terapia;1;;1;33;35
3502804;Hospital;;;;4;4
3502804;Outros;4;;3;24;31
3502804;Pronto Atendimento;;;1;1;2
3502804;Unidade Básica de Saúde;1;;20;;21
3502804;Unidade de Saúde Mental ;;;3;;3
3502804;Unidade Móvel;1;;3;2;6
3502804;Vigilância em Saúde;1;;2;;3
3502903;Clínica;;;2;5;7
3502903;Consultório Isolado;;;;9;9
3502903;Diagnose e Terapia;;;;2;2
3502903;Hospital;;;;8;8
3502903;Outros;;;3;2;5
3502903;Pronto Atendimento;;;1;;1
3502903;Unidade Básica de Saúde;;;8;;8
3502903;Unidade de Saúde Mental ;;;1;;1
3503000;Consultório Isolado;;;3;3;6
3503000;Diagnose e Terapia;;;1;;1
3503000;Outros;;;2;1;3
3503000;Unidade Básica de Saúde;;;5;;5
3503000;Vigilância em Saúde;;;1;;1
3503109;Consultório Isolado;;;;2;2
3503109;Hospital;;;1;;1
3503109;Outros;;;1;;1
3503109;Unidade Básica de Saúde;;;1;;1
3503158;Outros;;;1;;1
3503158;Unidade Básica de Saúde;;;2;;2
3503208;Clínica;1;;12;83;96
3503208;Consultório Isolado;1;;3;721;725
3503208;Diagnose e Terapia;1;;3;24;28
3503208;Hospital;;;2;7;9
3503208;Outros;4;;10;14;28
3503208;Pronto Atendimento;;;3;1;4
3503208;Unidade Básica de Saúde;4;;37;;41
3503208;Unidade de Saúde Mental ;;;2;;2
3503208;Unidade Móvel;1;;12;3;16
3503208;Vigilância em Saúde;;;3;;3
3503307;Clínica;;;3;32;35
3503307;Consultório Isolado;;;;258;258
3503307;Diagnose e Terapia;;;;14;14
3503307;Hospital;;;;4;4
3503307;Outros;;;3;8;11
3503307;Pronto Atendimento;;;1;;1
3503307;Unidade Básica de Saúde;;;26;;26
3503307;Unidade de Saúde Mental ;;;3;;3
3503307;Unidade Móvel;;;5;;5
3503307;Vigilância em Saúde;;;2;;2
3503356;Outros;;;1;;1
3503356;Unidade Básica de Saúde;;;1;;1
3503406;Clínica;;;;1;1
3503406;Hospital;;;;1;1
3503406;Outros;;;3;2;5
3503406;Unidade Básica de Saúde;;;5;;5
3503406;Unidade Móvel;;;1;;1
3503505;Outros;;;2;;2
3503505;Unidade Básica de Saúde;;;2;;2
3503604;Clínica;;;1;1;2
3503604;Consultório Isolado;;;;5;5
3503604;Diagnose e Terapia;;;;2;2
3503604;Outros;;;2;;2
3503604;Unidade Básica de Saúde;;;3;;3
3503604;Unidade Móvel;;;1;;1
3503703;Clínica;;;1;;1
3503703;Consultório Isolado;;;;6;6
3503703;Diagnose e Terapia;;;1;1;2
3503703;Outros;;;1;;1
3503703;Pronto Atendimento;;;1;;1
3503703;Unidade Básica de Saúde;;;3;;3
3503802;Clínica;;;2;8;10
3503802;Consultório Isolado;;;;62;62
3503802;Diagnose e Terapia;;;1;7;8
3503802;Hospital;;;1;;1
3503802;Outros;;;4;4;8
3503802;Unidade Básica de Saúde;;;13;4;17
3503802;Unidade de Saúde Mental ;;;1;;1
3503802;Unidade Móvel;;;1;;1
3503901;Clínica;;;3;23;26
3503901;Consultório Isolado;;;;39;39
3503901;Diagnose e Terapia;;;;8;8
3503901;Hospital;;;1;;1
3503901;Outros;;;2;2;4
3503901;Pronto Atendimento;;;;3;3
3503901;Unidade Básica de Saúde;;;8;;8
3503901;Unidade Móvel;;;1;;1
3503901;Vigilância em Saúde;;;1;;1
3503950;Outros;;;1;;1
3503950;Unidade Básica de Saúde;;;1;;1
3504008;Clínica;1;;13;27;41
3504008;Consultório Isolado;;;;425;425
3504008;Diagnose e Terapia;;;;21;21
3504008;Hospital;1;;;9;10
3504008;Outros;3;;10;9;22
3504008;Pronto Atendimento;;;2;;2
3504008;Unidade Básica de Saúde;1;;22;;23
3504008;Unidade de Saúde Mental ;;;3;;3
3504008;Unidade Móvel;;;2;;2
3504107;Clínica;1;;5;62;68
3504107;Consultório Isolado;;;;309;309
3504107;Diagnose e Terapia;1;;3;46;50
3504107;Hospital;;;;6;6
3504107;Outros;;;4;17;21
3504107;Pronto Atendimento;;;1;;1
3504107;Unidade Básica de Saúde;;;18;;18
3504107;Unidade de Saúde Mental ;;;3;;3
3504107;Unidade Móvel;;;4;;4
3504107;Vigilância em Saúde;;;2;;2
3504206;Clínica;;;1;1;2
3504206;Consultório Isolado;;;;19;19
3504206;Diagnose e Terapia;;;;3;3
3504206;Hospital;;;;1;1
3504206;Outros;;;2;;2
3504206;Unidade Básica de Saúde;;;5;;5
3504206;Vigilância em Saúde;;;1;;1
3504305;Outros;;;1;;1
3504305;Unidade Básica de Saúde;;;3;;3
3504404;Clínica;;;1;1;2
3504404;Consultório Isolado;;;;4;4
3504404;Diagnose e Terapia;;;;1;1
3504404;Outros;;;2;2;4
3504404;Unidade Básica de Saúde;1;;4;;5
3504503;Clínica;1;;6;9;16
3504503;Consultório Isolado;;;1;254;255
3504503;Diagnose e Terapia;;;;19;19
3504503;Hospital;;;;1;1
3504503;Outros;1;;2;9;12
3504503;Pronto Atendimento;;;1;;1
3504503;Unidade Básica de Saúde;3;;18;;21
3504503;Unidade de Saúde Mental ;;;1;;1
3504503;Unidade Móvel;;;2;;2
3504503;Vigilância em Saúde;;;2;;2
3504602;Clínica;;;1;2;3
3504602;Consultório Isolado;;;;8;8
3504602;Diagnose e Terapia;;;;1;1
3504602;Outros;;;1;;1
3504602;Pronto Atendimento;;;1;;1
3504602;Unidade Básica de Saúde;;;3;;3
3504701;Outros;;;1;;1
3504701;Unidade Básica de Saúde;2;;2;;4
3504800;Consultório Isolado;;;;1;1
3504800;Diagnose e Terapia;;;;1;1
3504800;Outros;;;1;;1
3504800;Unidade Básica de Saúde;;;5;;5
3504909;Clínica;;;2;1;3
3504909;Consultório Isolado;;;;2;2
3504909;Diagnose e Terapia;;;;1;1
3504909;Outros;;;3;;3
3504909;Unidade Básica de Saúde;;;6;;6
3504909;Unidade de Saúde Mental ;;;1;;1
3504909;Unidade Móvel;;;1;;1
3504909;Vigilância em Saúde;;;1;;1
3505005;Outros;;;2;;2
3505005;Unidade Básica de Saúde;;;2;;2
3505104;Outros;;;2;;2
3505104;Unidade Básica de Saúde;;;1;;1
3505203;Clínica;;;3;4;7
3505203;Consultório Isolado;;;;66;66
3505203;Diagnose e Terapia;;;1;23;24
3505203;Hospital;;;;1;1
3505203;Outros;;;2;4;6
3505203;Unidade Básica de Saúde;;;7;;7
3505203;Unidade de Saúde Mental ;;;1;;1
3505203;Vigilância em Saúde;;;2;;2
3505302;Clínica;;;1;6;7
3505302;Consultório Isolado;;;;78;78
3505302;Diagnose e Terapia;;;1;11;12
3505302;Hospital;;;;1;1
3505302;Outros;;;3;2;5
3505302;Unidade Básica de Saúde;;;8;;8
3505302;Unidade de Saúde Mental ;;;1;;1
3505351;Outros;;;3;;3
3505351;Pronto Atendimento;;;1;;1
3505351;Unidade Básica de Saúde;;;3;;3
3505401;Outros;;;1;;1
3505401;Pronto Atendimento;;;1;;1
3505401;Unidade Básica de Saúde;;;5;;5
3505401;Unidade Móvel;;;1;;1
3505500;Clínica;2;;6;34;42
3505500;Consultório Isolado;;;1;242;243
3505500;Diagnose e Terapia;;;1;11;12
3505500;Hospital;1;;;5;6
3505500;Outros;5;;6;5;16
3505500;Pronto Atendimento;;;1;1;2
3505500;Unidade Básica de Saúde;;;18;;18
3505500;Unidade de Saúde Mental ;;;1;;1
3505500;Unidade Móvel;;;4;1;5
3505500;Vigilância em Saúde;;;1;;1
3505609;Clínica;;;5;5;10
3505609;Consultório Isolado;;;;21;21
3505609;Diagnose e Terapia;;;2;4;6
3505609;Outros;;;2;;2
3505609;Pronto Atendimento;;;;1;1
3505609;Unidade Básica de Saúde;;;7;1;8
3505609;Unidade Móvel;;;1;;1
3505609;Vigilância em Saúde;;;3;;3
3505708;Clínica;;;8;106;114
3505708;Consultório Isolado;;;6;514;520
3505708;Diagnose e Terapia;;;1;21;22
3505708;Hospital;1;;2;6;9
3505708;Outros;;;8;18;26
3505708;Pronto Atendimento;;;6;1;7
3505708;Unidade Básica de Saúde;;;21;;21
3505708;Unidade de Saúde Mental ;;;3;;3
3505708;Unidade Móvel;;;;1;1
3505708;Vigilância em Saúde;;;2;;2
3505807;Clínica;;;4;8;12
3505807;Consultório Isolado;;;;14;14
3505807;Diagnose e Terapia;;;2;2;4
3505807;Hospital;;;;1;1
3505807;Outros;;;6;;6
3505807;Pronto Atendimento;;;1;;1
3505807;Unidade Básica de Saúde;;;6;;6
3505807;Unidade de Saúde Mental ;;;1;;1
3505807;Vigilância em Saúde;;;1;;1
3505906;Clínica;;;4;6;10
3505906;Consultório Isolado;;;1;275;276
3505906;Diagnose e Terapia;;;1;9;10
3505906;Hospital;;;;1;1
3505906;Outros;;;5;6;11
3505906;Pronto Atendimento;;;1;1;2
3505906;Unidade Básica de Saúde;;;9;;9
3505906;Unidade de Saúde Mental ;;;1;;1
3505906;Unidade Móvel;;;2;;2
3505906;Vigilância em Saúde;;;1;;1
3506003;Clínica;2;;13;79;94
3506003;Consultório Isolado;;;;799;799
3506003;Diagnose e Terapia;1;;;37;38
3506003;Hospital;7;;;7;14
3506003;Outros;4;1;8;26;39
3506003;Pronto Atendimento;;;5;;5
3506003;Unidade Básica de Saúde;5;;25;1;31
3506003;Unidade de Saúde Mental ;;;5;;5
3506003;Unidade Móvel;;;11;1;12
3506003;Vigilância em Saúde;;;4;;4
3506102;Clínica;;;5;60;65
3506102;Consultório Isolado;;;1;268;269
3506102;Diagnose e Terapia;;;1;12;13
3506102;Hospital;1;;1;6;8
3506102;Outros;;;4;5;9
3506102;Pronto Atendimento;;;1;;1
3506102;Unidade Básica de Saúde;;;18;;18
3506102;Unidade de Saúde Mental ;;;2;;2
3506102;Unidade Móvel;;;;1;1
3506201;Outros;;;1;;1
3506201;Unidade Básica de Saúde;;;1;;1
3506300;Clínica;;;2;1;3
3506300;Consultório Isolado;;;;7;7
3506300;Diagnose e Terapia;;;;3;3
3506300;Hospital;;;;1;1
3506300;Outros;;;1;;1
3506300;Unidade Básica de Saúde;1;;3;;4
3506300;Unidade de Saúde Mental ;;;1;;1
3506300;Unidade Móvel;;;1;;1
3506359;Clínica;;;5;11;16
3506359;Consultório Isolado;;;;33;33
3506359;Diagnose e Terapia;;;;8;8
3506359;Hospital;;;1;;1
3506359;Outros;;;3;34;37
3506359;Unidade Básica de Saúde;;;7;;7
3506359;Unidade de Saúde Mental ;;;1;;1
3506359;Unidade Móvel;;;3;2;5
3506359;Vigilância em Saúde;;;2;;2
3506409;Consultório Isolado;;;1;5;6
3506409;Diagnose e Terapia;;;;1;1
3506409;Hospital;;;;1;1
3506409;Outros;;;2;2;4
3506409;Unidade Básica de Saúde;;;1;;1
3506508;Clínica;1;;6;35;42
3506508;Consultório Isolado;;;7;219;226
3506508;Diagnose e Terapia;;;;24;24
3506508;Hospital;;;;2;2
3506508;Outros;;;1;15;16
3506508;Pronto Atendimento;;;1;;1
3506508;Unidade Básica de Saúde;1;;12;;13
3506607;Clínica;;;1;2;3
3506607;Consultório Isolado;;;;7;7
3506607;Diagnose e Terapia;;;;1;1
3506607;Outros;;;3;;3
3506607;Pronto Atendimento;;;1;;1
3506607;Unidade Básica de Saúde;;;6;;6
3506607;Unidade de Saúde Mental ;;;1;;1
3506607;Unidade Móvel;;;1;;1
3506607;Vigilância em Saúde;;;1;;1
3506706;Clínica;;;1;;1
3506706;Consultório Isolado;;;;7;7
3506706;Diagnose e Terapia;;;2;;2
3506706;Hospital;;;;1;1
3506706;Outros;;;3;;3
3506706;Unidade Básica de Saúde;;;4;;4
3506706;Unidade Móvel;;;1;;1
3506805;Clínica;;;1;2;3
3506805;Consultório Isolado;;;;15;15
3506805;Diagnose e Terapia;;;;2;2
3506805;Hospital;;;;1;1
3506805;Outros;;;1;;1
3506805;Unidade Básica de Saúde;;;4;;4
3506904;Clínica;;;;1;1
3506904;Consultório Isolado;;;;2;2
3506904;Diagnose e Terapia;;;;1;1
3506904;Pronto Atendimento;;;1;;1
3506904;Unidade Básica de Saúde;;;7;;7
3506904;Unidade Móvel;;;1;;1
3506904;Vigilância em Saúde;;;1;;1
3507001;Clínica;;;2;19;21
3507001;Consultório Isolado;;1;;91;92
3507001;Diagnose e Terapia;;;;13;13
3507001;Hospital;;;;1;1
3507001;Outros;;;5;3;8
3507001;Pronto Atendimento;;;1;;1
3507001;Unidade Básica de Saúde;;;9;;9
3507001;Unidade de Saúde Mental ;;;2;;2
3507001;Unidade Móvel;;;2;;2
3507100;Clínica;;;;1;1
3507100;Consultório Isolado;;;;12;12
3507100;Diagnose e Terapia;;;1;4;5
3507100;Outros;;;1;1;2
3507100;Unidade Básica de Saúde;;;4;;4
3507100;Unidade Móvel;;;1;;1
3507159;Outros;;;3;;3
3507159;Unidade Básica de Saúde;;;2;;2
3507159;Unidade Móvel;;;1;;1
3507159;Vigilância em Saúde;;;1;;1
3507209;Outros;;;1;;1
3507209;Unidade Básica de Saúde;;;1;;1
3507308;Consultório Isolado;;;;1;1
3507308;Outros;;;2;;2
3507308;Pronto Atendimento;;;1;;1
3507308;Unidade Básica de Saúde;;;2;;2
3507407;Clínica;;;1;7;8
3507407;Consultório Isolado;;;;18;18
3507407;Diagnose e Terapia;;;;3;3
3507407;Hospital;;;;1;1
3507407;Outros;;;1;;1
3507407;Pronto Atendimento;;;1;;1
3507407;Unidade Básica de Saúde;;;6;;6
3507407;Unidade de Saúde Mental ;;;1;;1
3507456;Clínica;;;1;;1
3507456;Outros;;;1;;1
3507456;Unidade Básica de Saúde;;;2;;2
3507506;Clínica;4;;3;34;41
3507506;Consultório Isolado;1;;1;715;717
3507506;Diagnose e Terapia;;;;11;11
3507506;Hospital;1;;1;3;5
3507506;Outros;3;;8;10;21
3507506;Unidade Básica de Saúde;1;;20;1;22
3507506;Unidade de Saúde Mental ;2;;2;;4
3507506;Unidade Móvel;;;3;;3
3507506;Vigilância em Saúde;;;1;;1
3507605;Clínica;;;7;94;101
3507605;Consultório Isolado;;;1;348;349
3507605;Diagnose e Terapia;1;;;30;31
3507605;Hospital;;;;7;7
3507605;Outros;;;7;15;22
3507605;Pronto Atendimento;;;2;1;3
3507605;Unidade Básica de Saúde;;;29;;29
3507605;Unidade de Saúde Mental ;;;2;;2
3507605;Unidade Móvel;1;;6;;7
3507605;Vigilância em Saúde;;;2;;2
3507704;Diagnose e Terapia;;;;1;1
3507704;Outros;;;2;;2
3507704;Unidade Básica de Saúde;;;1;;1
3507753;Outros;;;2;;2
3507753;Unidade Básica de Saúde;;;2;;2
3507753;Vigilância em Saúde;;;1;;1
3507803;Clínica;;;3;2;5
3507803;Consultório Isolado;;;;39;39
3507803;Diagnose e Terapia;;;;6;6
3507803;Outros;;;1;;1
3507803;Pronto Atendimento;;;1;;1
3507803;Unidade Básica de Saúde;;;6;;6
3507803;Unidade Móvel;;;1;;1
3507902;Clínica;;;;1;1
3507902;Consultório Isolado;;;;65;65
3507902;Diagnose e Terapia;;;;6;6
3507902;Hospital;;;;1;1
3507902;Outros;;;2;1;3
3507902;Unidade Básica de Saúde;;;7;;7
3507902;Unidade de Saúde Mental ;;;1;;1
3508009;Clínica;;;2;1;3
3508009;Consultório Isolado;;;;2;2
3508009;Diagnose e Terapia;;;;2;2
3508009;Outros;;;6;1;7
3508009;Pronto Atendimento;;;1;;1
3508009;Unidade Básica de Saúde;;;9;;9
3508009;Unidade de Saúde Mental ;;;1;;1
3508108;Clínica;;;3;4;7
3508108;Consultório Isolado;;;;19;19
3508108;Diagnose e Terapia;;;;1;1
3508108;Hospital;;;;1;1
3508108;Outros;;;3;;3
3508108;Unidade Básica de Saúde;;;2;;2
3508108;Unidade de Saúde Mental ;;;1;;1
3508108;Vigilância em Saúde;;;1;;1
3508207;Consultório Isolado;;;;4;4
3508207;Diagnose e Terapia;;;;2;2
3508207;Outros;;;1;;1
3508207;Unidade Básica de Saúde;;;2;;2
3508306;Clínica;;;1;;1
3508306;Outros;;;1;;1
3508306;Unidade Básica de Saúde;;;2;;2
3508405;Clínica;;;5;10;15
3508405;Consultório Isolado;;;;8;8
3508405;Diagnose e Terapia;;;;6;6
3508405;Hospital;;;;2;2
3508405;Outros;;;4;1;5
3508405;Pronto Atendimento;;;1;;1
3508405;Unidade Básica de Saúde;;;8;;8
3508405;Unidade de Saúde Mental ;;;1;;1
3508504;Clínica;;;5;20;25
3508504;Consultório Isolado;;;;287;287
3508504;Diagnose e Terapia;;;;7;7
3508504;Hospital;;;;4;4
3508504;Outros;;;6;5;11
3508504;Pronto Atendimento;;;1;;1
3508504;Unidade Básica de Saúde;;;21;;21
3508504;Unidade de Saúde Mental ;;;3;;3
3508504;Unidade Móvel;;;3;;3
3508504;Vigilância em Saúde;;;3;;3
3508603;Clínica;;;3;10;13
3508603;Consultório Isolado;;;;40;40
3508603;Diagnose e Terapia;;;;3;3
3508603;Hospital;;;;1;1
3508603;Outros;;;5;7;12
3508603;Unidade Básica de Saúde;;;11;;11
3508603;Unidade de Saúde Mental ;;;1;;1
3508702;Clínica;;;2;5;7
3508702;Consultório Isolado;;;;23;23
3508702;Diagnose e Terapia;;;1;7;8
3508702;Hospital;;;;1;1
3508702;Outros;;;2;1;3
3508702;Unidade Básica de Saúde;;;7;;7
3508801;Clínica;;;;3;3
3508801;Consultório Isolado;;;;30;30
3508801;Diagnose e Terapia;;;;4;4
3508801;Hospital;;;;1;1
3508801;Outros;;;2;;2
3508801;Unidade Básica de Saúde;;;7;;7
3508801;Unidade de Saúde Mental ;;;1;;1
3508900;Clínica;;;1;;1
3508900;Outros;;;2;;2
3508900;Unidade Básica de Saúde;;;2;;2
3508900;Vigilância em Saúde;;;1;;1
3509007;Clínica;;;4;27;31
3509007;Consultório Isolado;;;;42;42
3509007;Diagnose e Terapia;;;;6;6
3509007;Hospital;1;;;2;3
3509007;Outros;;;4;5;9
3509007;Pronto Atendimento;;;1;1;2
3509007;Unidade Básica de Saúde;;;16;1;17
3509007;Unidade de Saúde Mental ;;;2;;2
3509007;Vigilância em Saúde;;;3;;3
3509106;Outros;;;1;;1
3509106;Unidade Básica de Saúde;2;;3;;5
3509106;Vigilância em Saúde;;;1;;1
3509205;Clínica;;;2;26;28
3509205;Consultório Isolado;;;;61;61
3509205;Diagnose e Terapia;;;;8;8
3509205;Hospital;;;1;1;2
3509205;Outros;;;4;2;6
3509205;Pronto Atendimento;;;1;;1
3509205;Unidade Básica de Saúde;;;11;;11
3509205;Unidade de Saúde Mental ;;;2;;2
3509205;Vigilância em Saúde;;;2;;2
3509254;Clínica;;;3;6;9
3509254;Consultório Isolado;;;;14;14
3509254;Diagnose e Terapia;;;;4;4
3509254;Outros;;;6;;6
3509254;Pronto Atendimento;;;1;;1
3509254;Unidade Básica de Saúde;;;11;;11
3509254;Unidade de Saúde Mental ;;;1;;1
3509254;Unidade Móvel;;;1;;1
3509254;Vigilância em Saúde;;;1;;1
3509304;Clínica;;;;1;1
3509304;Consultório Isolado;;;;2;2
3509304;Diagnose e Terapia;;;;1;1
3509304;Hospital;;;;1;1
3509304;Outros;;;3;;3
3509304;Unidade Básica de Saúde;;;3;;3
3509304;Unidade Móvel;;;1;;1
3509403;Clínica;;;4;12;16
3509403;Consultório Isolado;;;;47;47
3509403;Diagnose e Terapia;;;1;2;3
3509403;Hospital;;;;1;1
3509403;Outros;;;3;;3
3509403;Pronto Atendimento;;;1;;1
3509403;Unidade Básica de Saúde;;;8;;8
3509403;Unidade Móvel;;;2;1;3
3509403;Vigilância em Saúde;;;1;;1
3509452;Outros;;;2;1;3
3509452;Unidade Básica de Saúde;;;2;;2
3509502;Clínica;1;;22;331;354
3509502;Consultório Isolado;2;;;2.445;2.447
